# List of all bad exposures that shouldn't be included in the reduction process
190317 5
190317 15
190320 6
190320 7
190320 8
190320 9
190320 10
190320 11
190320 12
190320 32
190320 53
190321 24
190323 100
190323 101
190323 102
190323 103
190323 104
190509 51
190509 52
190722 68
190731 151
190731 180
190805 614
190805 623
190805 674
190805 680
190805 681
190805 682
190805 690
190805 691
190826 39
191012 53
191012 54
191012 55
191014 112
191014 113
191015 1
191015 34
191015 42
191015 100
191016 6
191016 7
191016 8
191016 9
191016 10
191016 39
191017 21
191018 200
191018 205
191018 206
191018 218
191018 219
191018 220
191018 221
191018 223
191018 226
191018 228
191019 125
191017 18
191017 29

# Bad flats (Red) (based on pywifes_utils.flats_stats()
20190731 0126
20190731 0127
20190731 0128
20190731 0129
20190805 0690
20190805 0691
20190805 0696
20191013 0690
20191013 0691
20191013 0696
20191014 0112
20191014 0113

# Bad flats (Blue) (based on pywifes_utils.flats_stats()
20190805 0690
20190805 0691

# Bad biases (both Blue and Red) (normal low values but some sections are bad)
20190112 0102
20190116 0427
20190116 0428
20190116 0429
20190116 0430
20190117 0036
20190227 0027
20190227 0028
20190227 0029
20190315 0001
20190315 0001
20190319 0081
20190319 0083
20190319 0084
20190319 0085
20190319 0081
20190319 0082
20190319 0083
20190319 0084
20190319 0085
